state_action_state_weights
75 5 3 0
"S0" "Forward" "S0" 25
"S0" "Forward" "S1" 66
"S0" "Forward" "S2" 91
"S0" "Forward" "S3" 50
"S0" "Forward" "S4" 79
"S1" "Forward" "S0" 63
"S1" "Forward" "S1" 4
"S1" "Forward" "S2" 57
"S1" "Forward" "S3" 88
"S1" "Forward" "S4" 34
"S2" "Forward" "S0" 49
"S2" "Forward" "S1" 4
"S2" "Forward" "S2" 39
"S2" "Forward" "S3" 30
"S2" "Forward" "S4" 62
"S3" "Forward" "S0" 13
"S3" "Forward" "S1" 89
"S3" "Forward" "S2" 20
"S3" "Forward" "S3" 54
"S3" "Forward" "S4" 83
"S4" "Forward" "S0" 98
"S4" "Forward" "S1" 54
"S4" "Forward" "S2" 88
"S4" "Forward" "S3" 75
"S4" "Forward" "S4" 61
"S0" "Backward" "S0" 74
"S0" "Backward" "S1" 84
"S0" "Backward" "S2" 82
"S0" "Backward" "S3" 19
"S0" "Backward" "S4" 46
"S1" "Backward" "S0" 98
"S1" "Backward" "S1" 58
"S1" "Backward" "S2" 94
"S1" "Backward" "S3" 78
"S1" "Backward" "S4" 79
"S2" "Backward" "S0" 4
"S2" "Backward" "S1" 70
"S2" "Backward" "S2" 13
"S2" "Backward" "S3" 83
"S2" "Backward" "S4" 82
"S3" "Backward" "S0" 3
"S3" "Backward" "S1" 84
"S3" "Backward" "S2" 42
"S3" "Backward" "S3" 63
"S3" "Backward" "S4" 79
"S4" "Backward" "S0" 70
"S4" "Backward" "S1" 28
"S4" "Backward" "S2" 53
"S4" "Backward" "S3" 33
"S4" "Backward" "S4" 24
"S0" "Turnaround" "S0" 88
"S0" "Turnaround" "S1" 25
"S0" "Turnaround" "S2" 61
"S0" "Turnaround" "S3" 86
"S0" "Turnaround" "S4" 83
"S1" "Turnaround" "S0" 92
"S1" "Turnaround" "S1" 79
"S1" "Turnaround" "S2" 25
"S1" "Turnaround" "S3" 82
"S1" "Turnaround" "S4" 45
"S2" "Turnaround" "S0" 12
"S2" "Turnaround" "S1" 95
"S2" "Turnaround" "S2" 7
"S2" "Turnaround" "S3" 95
"S2" "Turnaround" "S4" 30
"S3" "Turnaround" "S0" 63
"S3" "Turnaround" "S1" 31
"S3" "Turnaround" "S2" 73
"S3" "Turnaround" "S3" 36
"S3" "Turnaround" "S4" 64
"S4" "Turnaround" "S0" 75
"S4" "Turnaround" "S1" 90
"S4" "Turnaround" "S2" 44
"S4" "Turnaround" "S3" 99
"S4" "Turnaround" "S4" 26
